,Sr. No.,State,Work,Work ID,IDA,MP Name,Constituency,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount ( ₹ ),expenditure_amount,threshold_proximity_pct,vendor_payout_velocity,vendor_cumulative_30d,cumulative_vendor_spend_vs_threshold_pct,mp_total_allocation,amount_to_mp_budget_pct,year_month,ida_monthly_txns,risk_output,risk_score
58944,58945,Kerala,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP347/2024-2025/138112,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),Shri Suresh Kodikunnil,MAVELIKKARA(SC),2024-09-09,SURESH KUMAR K,Payment Success,1254628,1254628.0,0.0,1,1254628.0,0.0,172429519.11,0.7276178733640266,2024-09,2,"{'Work ID': 'WS/MP347/2024-2025/138112', 'risk_score': 28.0, 'risk_level': 'LOW_RISK', 'is_anomaly': False, 'metrics': {'amount': 1254628.0, 'threshold_proximity_pct': 0.0, 'vendor_30d_frequency': 1, 'cumulative_vendor_spend_vs_threshold_pct': 0.0, 'budget_impact_pct': 0.73, 'ida_monthly_txns': 2}, 'raw_anomaly_score': 0.1476, 'top_contributing_features': [{'feature': 'expenditure_amount', 'value': 1254628.0, 'contribution_to_risk': 0.0559}, {'feature': 'amount_to_mp_budget_pct', 'value': 0.7276178733640266, 'contribution_to_risk': 0.0423}, {'feature': 'vendor_payout_velocity', 'value': 1, 'contribution_to_risk': -0.0178}]}",28.0
58533,58534,Chhattisgarh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18278/2024-2025/137680,JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA),KAMLESH JANGDE,JANJGIR CHAMPA(SC),2024-09-20,SARPANCH GRAM PANCHAYAT DURPA,Payment Success,400000,400000.0,1.83,1,400000.0,1.83,150384382.11,0.2659850673239568,2024-09,2,"{'Work ID': 'WS/MP18278/2024-2025/137680', 'risk_score': 10.4, 'risk_level': 'LOW_RISK', 'is_anomaly': False, 'metrics': {'amount': 400000.0, 'threshold_proximity_pct': 1.83, 'vendor_30d_frequency': 1, 'cumulative_vendor_spend_vs_threshold_pct': 1.83, 'budget_impact_pct': 0.27, 'ida_monthly_txns': 2}, 'raw_anomaly_score': 0.2195, 'top_contributing_features': [{'feature': 'vendor_payout_velocity', 'value': 1, 'contribution_to_risk': -0.0163}, {'feature': 'ida_monthly_txns', 'value': 2, 'contribution_to_risk': -0.0113}, {'feature': 'cumulative_vendor_spend_vs_threshold_pct', 'value': 1.83, 'contribution_to_risk': 0.0065}]}",10.4
58536,58537,Chhattisgarh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18278/2024-2025/137679,JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA),KAMLESH JANGDE,JANJGIR CHAMPA(SC),2024-09-20,SARPANCH GRAM PANCHAYAT SONIYATATH,Payment Success,400000,400000.0,1.83,1,400000.0,1.83,150384382.11,0.2659850673239568,2024-09,2,"{'Work ID': 'WS/MP18278/2024-2025/137679', 'risk_score': 10.4, 'risk_level': 'LOW_RISK', 'is_anomaly': False, 'metrics': {'amount': 400000.0, 'threshold_proximity_pct': 1.83, 'vendor_30d_frequency': 1, 'cumulative_vendor_spend_vs_threshold_pct': 1.83, 'budget_impact_pct': 0.27, 'ida_monthly_txns': 2}, 'raw_anomaly_score': 0.2195, 'top_contributing_features': [{'feature': 'vendor_payout_velocity', 'value': 1, 'contribution_to_risk': -0.0162}, {'feature': 'ida_monthly_txns', 'value': 2, 'contribution_to_risk': -0.0112}, {'feature': 'cumulative_vendor_spend_vs_threshold_pct', 'value': 1.83, 'contribution_to_risk': 0.0065}]}",10.4
58781,58782,Kerala,Construction of buildings for community cultural activities,WS/MP345/2024-2025/134145,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),Shri NK Premachandran,KOLLAM,2024-09-28,PRADEEP KUMAR P,Payment Success,96867,96867.0,0.0,1,96867.0,0.0,171477994.11,0.05648946414538858,2024-09,2,"{'Work ID': 'WS/MP345/2024-2025/134145', 'risk_score': 3.3, 'risk_level': 'LOW_RISK', 'is_anomaly': False, 'metrics': {'amount': 96867.0, 'threshold_proximity_pct': 0.0, 'vendor_30d_frequency': 1, 'cumulative_vendor_spend_vs_threshold_pct': 0.0, 'budget_impact_pct': 0.06, 'ida_monthly_txns': 2}, 'raw_anomaly_score': 0.2482, 'top_contributing_features': [{'feature': 'vendor_payout_velocity', 'value': 1, 'contribution_to_risk': -0.0129}, {'feature': 'threshold_proximity_pct', 'value': 0.0, 'contribution_to_risk': -0.0118}, {'feature': 'cumulative_vendor_spend_vs_threshold_pct', 'value': 0.0, 'contribution_to_risk': -0.0117}]}",3.3
58510,58511,Chhattisgarh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18278/2024-2025/134667,SAKTI(COLLECTOR SAKTI_IDA),KAMLESH JANGDE,JANJGIR CHAMPA(SC),2024-09-30,GRAM PANCHAYAT MASANIYAKALA,Payment Success,480000,480000.0,44.93,1,480000.0,44.93,150384382.11,0.3191820807887482,2024-09,2,"{'Work ID': 'WS/MP18278/2024-2025/134667', 'risk_score': 51.9, 'risk_level': 'MEDIUM_RISK', 'is_anomaly': False, 'metrics': {'amount': 480000.0, 'threshold_proximity_pct': 44.93, 'vendor_30d_frequency': 1, 'cumulative_vendor_spend_vs_threshold_pct': 44.93, 'budget_impact_pct': 0.32, 'ida_monthly_txns': 2}, 'raw_anomaly_score': 0.0497, 'top_contributing_features': [{'feature': 'cumulative_vendor_spend_vs_threshold_pct', 'value': 44.93, 'contribution_to_risk': 0.0848}, {'feature': 'threshold_proximity_pct', 'value': 44.93, 'contribution_to_risk': 0.082}, {'feature': 'vendor_payout_velocity', 'value': 1, 'contribution_to_risk': -0.0147}]}",51.9
58971,58972,Chhattisgarh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18278/2024-2025/137691,SAKTI(COLLECTOR SAKTI_IDA),KAMLESH JANGDE,JANJGIR CHAMPA(SC),2024-09-30,GRAM PANCHAYAT JUDAGA,Payment Success,400000,400000.0,1.83,1,400000.0,1.83,150384382.11,0.2659850673239568,2024-09,2,"{'Work ID': 'WS/MP18278/2024-2025/137691', 'risk_score': 10.4, 'risk_level': 'LOW_RISK', 'is_anomaly': False, 'metrics': {'amount': 400000.0, 'threshold_proximity_pct': 1.83, 'vendor_30d_frequency': 1, 'cumulative_vendor_spend_vs_threshold_pct': 1.83, 'budget_impact_pct': 0.27, 'ida_monthly_txns': 2}, 'raw_anomaly_score': 0.2195, 'top_contributing_features': [{'feature': 'vendor_payout_velocity', 'value': 1, 'contribution_to_risk': -0.0162}, {'feature': 'ida_monthly_txns', 'value': 2, 'contribution_to_risk': -0.0111}, {'feature': 'cumulative_vendor_spend_vs_threshold_pct', 'value': 1.83, 'contribution_to_risk': 0.0065}]}",10.4
58700,58701,Chhattisgarh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18278/2024-2025/134655,SAKTI(COLLECTOR SAKTI_IDA),KAMLESH JANGDE,JANJGIR CHAMPA(SC),2024-10-03,GRAM PANCHAYAT NANDOURKHURD,Payment Success,280000,280000.0,0.02,1,280000.0,0.02,150384382.11,0.18618954712676977,2024-10,6,"{'Work ID': 'WS/MP18278/2024-2025/134655', 'risk_score': 1.7, 'risk_level': 'LOW_RISK', 'is_anomaly': False, 'metrics': {'amount': 280000.0, 'threshold_proximity_pct': 0.02, 'vendor_30d_frequency': 1, 'cumulative_vendor_spend_vs_threshold_pct': 0.02, 'budget_impact_pct': 0.19, 'ida_monthly_txns': 6}, 'raw_anomaly_score': 0.2547, 'top_contributing_features': [{'feature': 'ida_monthly_txns', 'value': 6, 'contribution_to_risk': -0.0145}, {'feature': 'vendor_payout_velocity', 'value': 1, 'contribution_to_risk': -0.0143}, {'feature': 'threshold_proximity_pct', 'value': 0.02, 'contribution_to_risk': -0.0109}]}",1.7
58696,58697,Chhattisgarh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18278/2024-2025/134660,SAKTI(COLLECTOR SAKTI_IDA),KAMLESH JANGDE,JANJGIR CHAMPA(SC),2024-10-03,GRAM PANCHAYAT PATERAPALIKHURD,Payment Success,400000,400000.0,1.83,1,400000.0,1.83,150384382.11,0.2659850673239568,2024-10,6,"{'Work ID': 'WS/MP18278/2024-2025/134660', 'risk_score': 8.9, 'risk_level': 'LOW_RISK', 'is_anomaly': False, 'metrics': {'amount': 400000.0, 'threshold_proximity_pct': 1.83, 'vendor_30d_frequency': 1, 'cumulative_vendor_spend_vs_threshold_pct': 1.83, 'budget_impact_pct': 0.27, 'ida_monthly_txns': 6}, 'raw_anomaly_score': 0.2254, 'top_contributing_features': [{'feature': 'ida_monthly_txns', 'value': 6, 'contribution_to_risk': -0.0166}, {'feature': 'vendor_payout_velocity', 'value': 1, 'contribution_to_risk': -0.0165}, {'feature': 'cumulative_vendor_spend_vs_threshold_pct', 'value': 1.83, 'contribution_to_risk': 0.0065}]}",8.9
58993,58994,Chhattisgarh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18278/2024-2025/137688,SAKTI(COLLECTOR SAKTI_IDA),KAMLESH JANGDE,JANJGIR CHAMPA(SC),2024-10-04,SARPANCH SACHIV GRAM PANCHAYAT BANDORA,Payment Success,500000,500000.0,100.0,1,500000.0,100.0,150384382.11,0.332481334154946,2024-10,6,"{'Work ID': 'WS/MP18278/2024-2025/137688', 'risk_score': 56.0, 'risk_level': 'MEDIUM_RISK', 'is_anomaly': False, 'metrics': {'amount': 500000.0, 'threshold_proximity_pct': 100.0, 'vendor_30d_frequency': 1, 'cumulative_vendor_spend_vs_threshold_pct': 100.0, 'budget_impact_pct': 0.33, 'ida_monthly_txns': 6}, 'raw_anomaly_score': 0.0331, 'top_contributing_features': [{'feature': 'cumulative_vendor_spend_vs_threshold_pct', 'value': 100.0, 'contribution_to_risk': 0.1193}, {'feature': 'threshold_proximity_pct', 'value': 100.0, 'contribution_to_risk': 0.0934}, {'feature': 'ida_monthly_txns', 'value': 6, 'contribution_to_risk': -0.0174}]}",56.0
58820,58821,Chhattisgarh,Construction of culverts and bridges,WS/MP429/2024-2025/140551,Gaurela-Pendra-Marwahi(Collector GPM_IDA),Jyotsna Charandas Mahant,KORBA,2024-10-04,SARPANCH SACHIV GRAM PAN SALHEGHORI,Payment Success,600000,600000.0,0.0,1,600000.0,0.0,155153738.11,0.3867132093038038,2024-10,1,"{'Work ID': 'WS/MP429/2024-2025/140551', 'risk_score': 11.3, 'risk_level': 'LOW_RISK', 'is_anomaly': False, 'metrics': {'amount': 600000.0, 'threshold_proximity_pct': 0.0, 'vendor_30d_frequency': 1, 'cumulative_vendor_spend_vs_threshold_pct': 0.0, 'budget_impact_pct': 0.39, 'ida_monthly_txns': 1}, 'raw_anomaly_score': 0.2155, 'top_contributing_features': [{'feature': 'vendor_payout_velocity', 'value': 1, 'contribution_to_risk': -0.0158}, {'feature': 'cumulative_vendor_spend_vs_threshold_pct', 'value': 0.0, 'contribution_to_risk': -0.0108}, {'feature': 'amount_to_mp_budget_pct', 'value': 0.3867132093038038, 'contribution_to_risk': 0.0107}]}",11.3
